"Countdown Anywhere","Countdown Anywhere"
"Your copy of the component is not registered! All functions are disabled. Please register. Enter your S/N to register:","Your copy of the component is not registered! All functions are disabled. Please register. Enter your S/N to register:"
"Register","Register"
"The extension has been registered","The extension has been registered"
"Wrong s/n!","Wrong s/n!"
"Save Settings","Save Settings"
"The extension is not registered for the website selected. Please register it with an additional S/N.","The extension is not registered for the website selected. Please register it with an additional S/N."
"Settings have been saved","Settings have been saved"
"Settings have not been saved","Settings have not been saved"
"Configuration","Configuration"
"Special Price & Promotions","Special Price & Promotions"
"Product View Special Price Countdown Configuration","Product View Special Price Countdown Configuration"
"Yes","Yes"
"No","No"
"Use Website","Use Website"
"Use Default","Use Default"
"Activate Countdown To Offer Start","Activate Countdown To Offer Start"
"Activate Countdown To Offer Finish","Activate Countdown To Offer Finish"
"Intro Text","Intro Text"
"allows HTML Tags","allows HTML Tags"
"Textual","Textual"
"Graphical","Graphical"
"Format","Format"
"Counter Size","Counter Size"
"Small","Small"
"Medium","Medium"
"Large","Large"
"Product View Inventory Countdown Configuration","Product View Inventory Countdown Configuration"
"Product Inventory","Product Inventory"
"Activate Inventory Countdown","Activate Inventory Countdown"
"Minimum Inventory to Display","Minimum Inventory to Display"
"Activate Product Availability Countdown","Activate Product Availability Countdown"
"Site Launch Countdown Configuration","Site Launch Countdown Configuration"
"Header","Header"
"Footer","Footer"
"Activate Subscribing","Activate Subscribing"
"Product Availability Countdown Options","Product Availability Countdown Options"
"Alternative Content","Alternative Content"
"unlimited","unlimited"
"Launch date","Launch date"
"Adds a countdown block","Adds a countdown block"
"IToris Countdown anywhere","IToris Countdown anywhere"
"Activate Alternative Content","Activate Alternative Content"
"Alternate Content","Alternate Content"
"Stop publishing on","Stop publishing on"
"Blue","Blue"
"Deep Black","Deep Black"
"Glossy Black","Glossy Black"
"Grey","Grey"
"Lime","Lime"
"Mat Black","Mat Black"
"Mint","Mint"
"Orange","Orange"
"Red Black","Red Black"
"Red White","Red White"
"Sunny Orange","Sunny Orange"
"Note: If the fields specified and the Product Availability Countdown is active (%scheck here%s) the product will get the 'In Stock' status and the quantity indicated automatically","Note: If the fields specified and the Product Availability Countdown is active (%scheck here%s) the product will get the 'In Stock' status and the quantity indicated automatically"
"Newsletter Signup","Newsletter Signup"
"Enter your email address...","Enter your email address..."
"Subscribe","Subscribe"
"In-Store Delivery Date should be at least in one hour from now","In-Store Delivery Date should be at least in one hour from now"
"Days","Days"
"Hours","Hours"
"Mins","Mins"
"Secs","Secs"